Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
Embedding Regression,channel_emb,1,196.5790940888074,170.61848295057143,-,0.001,1753689945
Embedding Regression,channel_emb,2,140.7398447568725,136.120170180862,-,0.001,1753689951
Embedding Regression,channel_emb,3,116.9599085827263,116.64188580899625,-,0.001,1753689956
Embedding Regression,channel_emb,4,103.56039910089402,103.71557153237832,-,0.001,1753689961
Embedding Regression,channel_emb,5,95.11082193802814,96.13488104536727,-,0.001,1753689966
Embedding Regression,channel_emb,6,89.58233806065151,88.74002631934914,-,0.001,1753689972
Embedding Regression,channel_emb,7,86.1889042237989,84.1064764229027,-,0.001,1753689977
Embedding Regression,channel_emb,8,81.06471078574252,80.98996770704115,-,0.001,1753689982
Embedding Regression,channel_emb,9,77.91971751621791,78.30432164991224,-,0.001,1753689988
Embedding Regression,channel_emb,10,75.52364590703225,75.16147000080831,-,0.001,1753689993
Embedding Regression,channel_emb,11,72.43355179481766,73.14534073906975,-,0.001,1753690000
Embedding Regression,channel_emb,12,70.24302723942971,71.09201717376709,-,0.001,1753690005
Embedding Regression,channel_emb,13,69.61705743698846,69.69488190315865,-,0.001,1753690012
Embedding Regression,channel_emb,14,67.26934523809524,69.01688524194665,-,0.001,1753690017
Embedding Regression,channel_emb,15,67.08200453414398,67.8108344206939,-,0.001,1753690023
Embedding Regression,channel_emb,16,64.65347478178893,66.45284668174949,-,0.001,1753690030
Embedding Regression,channel_emb,17,64.08793920400191,66.32488980164399,-,0.001,1753690035
Embedding Regression,channel_emb,18,63.15811983419924,65.52038527823784,-,0.001,1753690042
Embedding Regression,channel_emb,19,61.046090430953875,63.75927278157827,-,0.001,1753690047
Embedding Regression,channel_emb,20,61.09113824286428,63.06513750230944,-,0.0008,1753690052
