Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
Embedding Regression,channel_emb,1,659.6838906329612,646.3268218662428,-,0.001,1753683581
Embedding Regression,channel_emb,2,639.4026046421217,627.4377255647079,-,0.001,1753683585
Embedding Regression,channel_emb,3,617.5153626151707,607.0214780724567,-,0.001,1753683590
Embedding Regression,channel_emb,4,597.8060574738876,580.0462588434634,-,0.001,1753683595
Embedding Regression,channel_emb,5,569.4632873535156,557.0462026181428,-,0.001,1753683600
Embedding Regression,channel_emb,6,540.0187986622686,529.4606840714165,-,0.001,1753683605
Embedding Regression,channel_emb,7,515.1824552287226,510.9868178989576,-,0.001,1753683610
Embedding Regression,channel_emb,8,493.7016196872877,490.8988159013831,-,0.001,1753683614
Embedding Regression,channel_emb,9,478.71781908947486,472.5491923456607,-,0.001,1753683620
Embedding Regression,channel_emb,10,455.18395693405813,451.4319906649382,-,0.001,1753683625
