Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
Embedding Regression,channel_emb,1,454.4989381873089,445.55315614783245,-,0.001,1753683349
Embedding Regression,channel_emb,2,440.8302066637122,432.60313664311946,-,0.001,1753683354
Embedding Regression,channel_emb,3,425.825138921323,418.54738376451576,-,0.001,1753683358
Embedding Regression,channel_emb,4,412.17676784681237,400.0603954481042,-,0.001,1753683364
Embedding Regression,channel_emb,5,392.0459961269213,383.2942587811014,-,0.001,1753683369
Embedding Regression,channel_emb,6,371.2305875861126,364.25183843529743,-,0.001,1753683373
Embedding Regression,channel_emb,7,353.28203673984694,352.4115405704664,-,0.001,1753683379
Embedding Regression,channel_emb,8,338.42414151067317,336.4473763341489,-,0.001,1753683383
Embedding Regression,channel_emb,9,327.2676867609439,325.00845104715097,-,0.001,1753683388
Embedding Regression,channel_emb,10,310.92195121101713,307.8063895184061,-,0.001,1753683393
