Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
Embedding Regression,channel_emb,1,158.97844732129897,82.55562290392425,-,0.001,1753704979
Embedding Regression,channel_emb,2,89.75460774189717,65.84893096120734,-,0.001,1753704983
Embedding Regression,channel_emb,3,76.60583519291234,72.4205655549702,-,0.001,1753704987
Embedding Regression,channel_emb,4,71.07220636831748,55.55919692390844,-,0.001,1753704992
Embedding Regression,channel_emb,5,61.265695649224355,53.901081135398464,-,0.001,1753704996
Embedding Regression,channel_emb,6,55.82918685191387,45.143682078311315,-,0.001,1753705001
Embedding Regression,channel_emb,7,55.9033302100929,48.511810403121146,-,0.001,1753705005
Embedding Regression,channel_emb,8,48.58653085940593,51.45622434114155,-,0.001,1753705009
Embedding Regression,channel_emb,9,48.41428047901875,52.43051599201403,-,0.001,1753705014
Embedding Regression,channel_emb,10,48.961641975351284,54.583200002971445,-,0.001,1753705018
Embedding Regression,channel_emb,11,45.03656601583636,53.078038918344596,-,0.001,1753705022
Embedding Regression,channel_emb,12,42.38169766761161,40.019450539036804,-,0.001,1753705027
Embedding Regression,channel_emb,13,39.460185282939186,38.06883741679945,-,0.001,1753705031
Embedding Regression,channel_emb,14,42.24000121451713,39.742916784788434,-,0.001,1753705035
Embedding Regression,channel_emb,15,40.37805345896128,37.91885441227963,-,0.001,1753705040
Embedding Regression,channel_emb,16,36.942610018962135,38.12650931508917,-,0.001,1753705044
Embedding Regression,channel_emb,17,36.212849256154655,39.74329845528854,-,0.001,1753705048
Embedding Regression,channel_emb,18,38.595189104209076,44.67113399505615,-,0.001,1753705053
Embedding Regression,channel_emb,19,37.110880516670846,38.95041234869706,-,0.001,1753705057
Embedding Regression,channel_emb,20,34.941362690281224,34.9849342546965,-,0.0008,1753705062
