Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
Embedding Regression,raw,1,680.8430466029955,667.6734380307405,-,0.001,1753684087
Embedding Regression,raw,2,661.8156837795092,649.9874935979428,-,0.001,1753684088
Embedding Regression,raw,3,640.7052688598633,630.9482375435207,-,0.001,1753684088
Embedding Regression,raw,4,621.5371997667396,604.3565821440324,-,0.001,1753684088
Embedding Regression,raw,5,593.1860535663108,583.6506778882897,-,0.001,1753684089
Embedding Regression,raw,6,564.0355105192765,555.0332285010296,-,0.001,1753684089
Embedding Regression,raw,7,540.1335875469705,541.9081555242124,-,0.001,1753684090
Embedding Regression,raw,8,517.8124111009681,520.780230646548,-,0.001,1753684090
Embedding Regression,raw,9,503.088516401208,504.1202171989109,-,0.001,1753684091
Embedding Regression,raw,10,481.27218926471215,479.8613525058912,-,0.001,1753684091
Embedding Regression,raw,11,454.4338794376539,470.57338482400644,-,0.001,1753684091
Embedding Regression,raw,12,435.34156276868737,442.82213393501615,-,0.001,1753684092
Embedding Regression,raw,13,426.5567517487899,431.7242702815844,-,0.001,1753684092
Embedding Regression,raw,14,411.6093829611073,415.2087698397429,-,0.001,1753684093
Embedding Regression,raw,15,391.467448193094,392.78850547127104,-,0.001,1753684093
Embedding Regression,raw,16,378.5526324562405,388.9182896821395,-,0.001,1753684093
Embedding Regression,raw,17,362.5829844267472,371.69823899476427,-,0.001,1753684094
Embedding Regression,raw,18,362.35417805547297,370.5622576423313,-,0.001,1753684094
Embedding Regression,raw,19,337.0603991798733,343.04980833634085,-,0.001,1753684095
Embedding Regression,raw,20,332.31376996247667,337.1062660631926,-,0.0008,1753684095
