Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
Embedding Regression,raw,1,681.6791868467589,561.2196405112338,-,0.001,1753684395
Embedding Regression,raw,2,547.1277630780194,485.404159753501,-,0.001,1753684395
Embedding Regression,raw,3,464.2141324636099,417.3029782042211,-,0.001,1753684396
Embedding Regression,raw,4,392.5434071308858,364.7471897099294,-,0.001,1753684396
Embedding Regression,raw,5,326.2654829283018,305.3644984238813,-,0.001,1753684397
Embedding Regression,raw,6,278.44228177457245,278.87936087368297,-,0.001,1753684398
Embedding Regression,raw,7,242.13362265921927,232.35012028493037,-,0.001,1753684398
Embedding Regression,raw,8,198.38160231306748,203.29562372739622,-,0.001,1753684399
Embedding Regression,raw,9,170.82613805822425,165.62926267766628,-,0.001,1753684400
Embedding Regression,raw,10,161.12216042183542,159.28142550202455,-,0.001,1753684400
Embedding Regression,raw,11,142.51004028320312,122.88886140317334,-,0.001,1753684401
Embedding Regression,raw,12,120.47865089210305,114.92484815428857,-,0.001,1753684401
Embedding Regression,raw,13,120.60970038336677,95.68455924468786,-,0.001,1753684402
Embedding Regression,raw,14,98.6059423910605,94.68551612386898,-,0.001,1753684403
Embedding Regression,raw,15,103.009670773068,76.44700672512963,-,0.001,1753684403
Embedding Regression,raw,16,90.42240977931667,71.55208016739411,-,0.001,1753684404
Embedding Regression,raw,17,84.4652380041174,62.616216477893644,-,0.001,1753684404
Embedding Regression,raw,18,80.27271394471865,68.5454416729155,-,0.001,1753684405
Embedding Regression,raw,19,95.88349254711254,78.92304119447462,-,0.001,1753684406
Embedding Regression,raw,20,64.55397100706358,46.922029443338616,-,0.0008,1753684406
