Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
Embedding Regression,channel_emb,1,9.41664008192114,21.59351346367284,-,0.001,1753708827
Embedding Regression,channel_emb,2,10.264902910670719,20.632746922342402,-,0.001,1753708831
Embedding Regression,channel_emb,3,9.897359930180215,21.68629060293499,-,0.001,1753708836
Embedding Regression,channel_emb,4,9.984132599186253,21.126487807223672,-,0.001,1753708840
Embedding Regression,channel_emb,5,9.449447535179758,23.353388434962223,-,0.001,1753708845
Embedding Regression,channel_emb,6,9.149866342544556,21.16220309859828,-,0.001,1753708850
Embedding Regression,channel_emb,7,9.406911733988169,23.618436261227256,-,0.001,1753708854
Embedding Regression,channel_emb,8,9.044720470905304,24.480489831221732,-,0.001,1753708859
Embedding Regression,channel_emb,9,9.05343748427726,25.311909123470908,-,0.001,1753708863
Embedding Regression,channel_emb,10,9.561189983342144,29.650390097969456,-,0.001,1753708868
Embedding Regression,channel_emb,11,9.32051261937296,23.624078461998387,-,0.001,1753708873
Embedding Regression,channel_emb,12,9.320994322364395,23.036429191890516,-,0.001,1753708877
Embedding Regression,channel_emb,13,8.862354204461381,22.38767325250726,-,0.001,1753708882
Embedding Regression,channel_emb,14,9.05956852758253,22.18785303517392,-,0.001,1753708886
Embedding Regression,channel_emb,15,8.923332195024233,21.5178451287119,-,0.001,1753708891
Embedding Regression,channel_emb,16,8.61773352365236,21.70992680599815,-,0.001,1753708895
Embedding Regression,channel_emb,17,8.399444580078125,24.04650444733469,-,0.001,1753708900
Embedding Regression,channel_emb,18,8.694641590118408,23.46263285059678,-,0.001,1753708905
Embedding Regression,channel_emb,19,8.60380434667742,20.377573577981245,-,0.001,1753708909
Embedding Regression,channel_emb,20,9.407700770610088,20.36195935701069,-,0.0008,1753708914
Embedding Regression,channel_emb,21,8.441063507183179,20.72550452382941,-,0.0008,1753708918
Embedding Regression,channel_emb,22,7.7663755159120305,22.01639585745962,-,0.0008,1753708923
Embedding Regression,channel_emb,23,7.816940964879216,22.11782135461506,-,0.0008,1753708928
Embedding Regression,channel_emb,24,7.705146354597968,21.3845255249425,-,0.0008,1753708932
Embedding Regression,channel_emb,25,7.532314284427746,19.80334455088565,-,0.0008,1753708937
Embedding Regression,channel_emb,26,7.506252237268396,19.9648771223269,-,0.0008,1753708941
Embedding Regression,channel_emb,27,8.839199446343088,24.109434981095163,-,0.0008,1753708946
Embedding Regression,channel_emb,28,7.81616506705413,20.119523700914886,-,0.0008,1753708951
Embedding Regression,channel_emb,29,7.92283440280605,19.56736685727772,-,0.0008,1753708955
Embedding Regression,channel_emb,30,7.79071021563298,21.325677332125213,-,0.0008,1753708960
Embedding Regression,channel_emb,31,7.638189573545714,20.912664030727587,-,0.0008,1753708964
Embedding Regression,channel_emb,32,7.659227348662712,19.046834519034938,-,0.0008,1753708969
Embedding Regression,channel_emb,33,7.487812544848468,22.144566774368286,-,0.0008,1753708973
Embedding Regression,channel_emb,34,7.630054570533134,23.984872316059313,-,0.0008,1753708978
Embedding Regression,channel_emb,35,7.518830695667782,22.032856966319837,-,0.0008,1753708983
Embedding Regression,channel_emb,36,7.562838312741873,21.413302446666517,-,0.0008,1753708987
Embedding Regression,channel_emb,37,7.566631339691781,20.083228588104248,-,0.0008,1753708992
Embedding Regression,channel_emb,38,8.349594148429665,23.976014124719722,-,0.0008,1753708997
Embedding Regression,channel_emb,39,7.8322187726562085,20.030730059272365,-,0.0008,1753709001
Embedding Regression,channel_emb,40,7.462312627483058,19.189841784928973,-,0.00064,1753709006
