Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
Embedding Regression,channel_emb,1,23.537954639744115,35.39487826196771,-,0.001,1753708345
Embedding Regression,channel_emb,2,23.427041285746807,32.194306674756504,-,0.001,1753708349
Embedding Regression,channel_emb,3,22.45381219644804,35.717424292313424,-,0.001,1753708354
Embedding Regression,channel_emb,4,22.62613324861269,32.74418200944599,-,0.001,1753708359
Embedding Regression,channel_emb,5,19.88816923708529,33.837900387613395,-,0.001,1753708363
Embedding Regression,channel_emb,6,18.516582695213526,28.575764254519815,-,0.001,1753708368
Embedding Regression,channel_emb,7,18.97455881737374,31.42658062985069,-,0.001,1753708372
Embedding Regression,channel_emb,8,17.50609582018208,34.05136745854428,-,0.001,1753708377
Embedding Regression,channel_emb,9,16.83735170235505,32.35463109769319,-,0.001,1753708381
Embedding Regression,channel_emb,10,17.692250638394743,43.453852126472874,-,0.001,1753708386
Embedding Regression,channel_emb,11,16.220555262791144,31.742509164308245,-,0.001,1753708391
Embedding Regression,channel_emb,12,16.076381760674554,30.361854528125964,-,0.001,1753708395
Embedding Regression,channel_emb,13,15.099877415476618,27.987046342147025,-,0.001,1753708400
Embedding Regression,channel_emb,14,16.092108262551797,26.621412289770024,-,0.001,1753708404
Embedding Regression,channel_emb,15,15.511533395664111,27.055709788673802,-,0.001,1753708409
Embedding Regression,channel_emb,16,14.417423718684429,27.27429575669138,-,0.001,1753708413
Embedding Regression,channel_emb,17,13.721597297771558,30.29590654373169,-,0.001,1753708418
Embedding Regression,channel_emb,18,14.475831660064491,29.320883587787026,-,0.001,1753708423
Embedding Regression,channel_emb,19,13.486615300178528,25.878841124082868,-,0.001,1753708427
Embedding Regression,channel_emb,20,14.504374987370259,24.96848396251076,-,0.0008,1753708432
Embedding Regression,channel_emb,21,12.641169174297437,24.79619342402408,-,0.0008,1753708436
Embedding Regression,channel_emb,22,11.429468657519367,26.277287545957062,-,0.0008,1753708441
Embedding Regression,channel_emb,23,11.671451761915877,26.38159209803531,-,0.0008,1753708446
Embedding Regression,channel_emb,24,11.16711497629011,24.777481606132106,-,0.0008,1753708450
Embedding Regression,channel_emb,25,10.883303854916546,23.279014850917616,-,0.0008,1753708455
Embedding Regression,channel_emb,26,11.311390296832935,22.97852521193655,-,0.0008,1753708459
Embedding Regression,channel_emb,27,18.522709728898228,31.439238698858965,-,0.0008,1753708464
Embedding Regression,channel_emb,28,12.658133004162762,24.913634224941855,-,0.0008,1753708468
Embedding Regression,channel_emb,29,11.607185445927286,23.159044842971,-,0.0008,1753708473
Embedding Regression,channel_emb,30,11.160406193217716,24.328736694235552,-,0.0008,1753708478
Embedding Regression,channel_emb,31,11.125477146457982,23.768819194090995,-,0.0008,1753708482
Embedding Regression,channel_emb,32,11.22013940360095,22.309943977155182,-,0.0008,1753708487
Embedding Regression,channel_emb,33,10.588688135147095,26.295343449241237,-,0.0008,1753708491
Embedding Regression,channel_emb,34,10.742835937319574,27.456314588847913,-,0.0008,1753708496
Embedding Regression,channel_emb,35,10.575601394112045,26.359799774069536,-,0.0008,1753708501
Embedding Regression,channel_emb,36,10.54121572262532,25.153984647048148,-,0.0008,1753708505
Embedding Regression,channel_emb,37,10.98527953431413,24.23618355550264,-,0.0008,1753708510
Embedding Regression,channel_emb,38,13.712896546802005,28.985812613838597,-,0.0008,1753708514
Embedding Regression,channel_emb,39,11.321661485208047,22.897663028616655,-,0.0008,1753708519
Embedding Regression,channel_emb,40,10.330527743777713,21.84990308159276,-,0.00064,1753708524
