Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
Embedding Regression,channel_emb,1,653.4253375079181,531.005896743463,-,0.001,1753684280
Embedding Regression,channel_emb,2,517.9403564865524,457.1350490544118,-,0.001,1753684285
Embedding Regression,channel_emb,3,437.4947342743745,391.706034913355,-,0.001,1753684290
Embedding Regression,channel_emb,4,367.5788945378484,337.2270725016691,-,0.001,1753684295
Embedding Regression,channel_emb,5,305.39384759439,287.60382793711966,-,0.001,1753684300
Embedding Regression,channel_emb,6,260.1001412675187,258.51270968897813,-,0.001,1753684305
Embedding Regression,channel_emb,7,227.32240594399943,219.62761746620646,-,0.001,1753684309
Embedding Regression,channel_emb,8,189.05653577237516,202.02338091532388,-,0.001,1753684314
Embedding Regression,channel_emb,9,165.63074111938477,171.76395379929315,-,0.001,1753684319
Embedding Regression,channel_emb,10,156.1916918367953,155.9872365938563,-,0.001,1753684324
Embedding Regression,channel_emb,11,139.60793057003536,136.49776059105284,-,0.001,1753684328
Embedding Regression,channel_emb,12,122.22750421472497,125.7534972729326,-,0.001,1753684333
Embedding Regression,channel_emb,13,120.67809378134238,114.94483696035788,-,0.001,1753684338
Embedding Regression,channel_emb,14,103.10144620328336,114.64124642586222,-,0.001,1753684342
Embedding Regression,channel_emb,15,108.70762129087706,105.15171506453534,-,0.001,1753684347
Embedding Regression,channel_emb,16,96.43201374363255,100.97843092315051,-,0.001,1753684352
Embedding Regression,channel_emb,17,92.94134655514279,92.91877516272928,-,0.001,1753684357
Embedding Regression,channel_emb,18,89.13321984780801,93.3284277105007,-,0.001,1753684362
Embedding Regression,channel_emb,19,102.76947784423828,98.0018904225356,-,0.001,1753684368
Embedding Regression,channel_emb,20,71.24848783338392,88.17709514721722,-,0.0008,1753684372
