Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
Embedding Regression,raw,1,0.15704798255417798,0.08929528492395164,-,0.001,1753686294
Embedding Regression,raw,2,0.10140965617186315,0.05628476696735134,-,0.001,1753686294
Embedding Regression,raw,3,0.08668846727625744,0.043039364607206414,-,0.001,1753686295
Embedding Regression,raw,4,0.06380662845598685,0.03816554241110476,-,0.001,1753686295
Embedding Regression,raw,5,0.06399355285071037,0.03361460709386841,-,0.001,1753686296
Embedding Regression,raw,6,0.04924581461661571,0.018894367092637483,-,0.001,1753686296
Embedding Regression,raw,7,0.04575360969111726,0.03373237047344446,-,0.001,1753686297
Embedding Regression,raw,8,0.03899292748522114,0.019372173448783808,-,0.001,1753686297
Embedding Regression,raw,9,0.03839145938085543,0.021482540259682607,-,0.001,1753686298
Embedding Regression,raw,10,0.03298259141376695,0.017366313174379623,-,0.001,1753686298
Embedding Regression,raw,11,0.03438075621788566,0.044744285998777264,-,0.001,1753686299
Embedding Regression,raw,12,0.036656546884694614,0.019798566913548983,-,0.001,1753686299
Embedding Regression,raw,13,0.029582118363799276,0.012855317891847825,-,0.001,1753686300
Embedding Regression,raw,14,0.024134189116995077,0.012009653044218312,-,0.001,1753686300
Embedding Regression,raw,15,0.019445943520278543,0.012526387074759521,-,0.001,1753686301
Embedding Regression,raw,16,0.02018874171315818,0.0091952499917702,-,0.001,1753686302
Embedding Regression,raw,17,0.018706702727925132,0.009481797435124513,-,0.001,1753686302
Embedding Regression,raw,18,0.016225713858934673,0.010224599476751625,-,0.001,1753686303
Embedding Regression,raw,19,0.017707054742385406,0.011236744185238063,-,0.001,1753686303
Embedding Regression,raw,20,0.02204393605525429,0.010713024317527658,-,0.0008,1753686304
