Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
Embedding Regression,channel_emb,1,23.577065687913162,68.68827247619629,-,0.0001,1754022363
Embedding Regression,channel_emb,2,20.745814543503982,66.86083245277405,-,0.0001,1754022364
Embedding Regression,channel_emb,3,19.566478582528923,65.7139983177185,-,0.0001,1754022365
Embedding Regression,channel_emb,4,18.43936355297382,65.04383707046509,-,0.0001,1754022366
Embedding Regression,channel_emb,5,16.475599435659554,64.72812938690186,-,0.0001,1754022367
Embedding Regression,channel_emb,6,16.32434999025785,64.41771936416626,-,0.0001,1754022369
Embedding Regression,channel_emb,7,16.284663933974045,64.22045993804932,-,0.0001,1754022370
Embedding Regression,channel_emb,8,15.71218021099384,64.23977470397949,-,0.0001,1754022371
Embedding Regression,channel_emb,9,15.668444633483887,63.90747404098511,-,0.0001,1754022372
Embedding Regression,channel_emb,10,14.8773743556096,63.837252616882324,-,0.0001,1754022373
Embedding Regression,channel_emb,11,14.396808110750639,63.803532123565674,-,0.0001,1754022374
Embedding Regression,channel_emb,12,14.14926580282358,63.85980582237244,-,0.0001,1754022375
Embedding Regression,channel_emb,13,14.296155269329365,63.8773193359375,-,0.0001,1754022376
Embedding Regression,channel_emb,14,14.043250230642466,63.9077525138855,-,0.0001,1754022377
Embedding Regression,channel_emb,15,13.440205647395207,63.90443992614746,-,0.0001,1754022378
Embedding Regression,channel_emb,16,13.603213236882137,63.699105739593506,-,0.0001,1754022379
Embedding Regression,channel_emb,17,13.148512986990122,63.60725808143616,-,0.0001,1754022380
Embedding Regression,channel_emb,18,13.322100932781513,63.67843961715698,-,0.0001,1754022381
Embedding Regression,channel_emb,19,13.306507257314829,63.73290801048279,-,0.0001,1754022382
Embedding Regression,channel_emb,20,12.981381489680363,63.80390691757202,-,8e-05,1754022383
Embedding Regression,channel_emb,21,12.99065428513747,63.905285358428955,-,8e-05,1754022384
Embedding Regression,channel_emb,22,12.960913731501652,63.81065535545349,-,8e-05,1754022385
Embedding Regression,channel_emb,23,12.48826500085684,63.96551966667175,-,8e-05,1754022386
Embedding Regression,channel_emb,24,12.545454538785494,63.89371204376221,-,8e-05,1754022387
Embedding Regression,channel_emb,25,12.43485766190749,63.76344156265259,-,8e-05,1754022388
Embedding Regression,channel_emb,26,12.488814353942871,63.80285835266113,-,8e-05,1754022389
Embedding Regression,channel_emb,27,12.26780656667856,63.86164903640747,-,8e-05,1754022390
Embedding Regression,channel_emb,28,12.07753981076754,63.993309020996094,-,8e-05,1754022391
Embedding Regression,channel_emb,29,12.294448118943434,64.07294797897339,-,8e-05,1754022392
Embedding Regression,channel_emb,30,12.125126838684082,64.09444069862366,-,8e-05,1754022393
Embedding Regression,channel_emb,31,11.881528560931866,64.078537940979,-,8e-05,1754022394
Embedding Regression,channel_emb,32,11.994299741891714,64.02782440185547,-,8e-05,1754022395
Embedding Regression,channel_emb,33,11.958557275625376,64.05744743347168,-,8e-05,1754022396
Embedding Regression,channel_emb,34,12.00860074850229,64.09433507919312,-,8e-05,1754022397
Embedding Regression,channel_emb,35,12.02452065394475,64.14196848869324,-,8e-05,1754022398
