Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
Embedding Regression,channel_emb,1,19.111472258696686,46.776766074331185,-,0.001,1753712041
Embedding Regression,channel_emb,2,25.282765633351094,39.64626076346949,-,0.001,1753712046
Embedding Regression,channel_emb,3,26.407950220881283,43.09463393060785,-,0.001,1753712051
Embedding Regression,channel_emb,4,26.45870662379909,40.688445819051644,-,0.001,1753712056
Embedding Regression,channel_emb,5,24.414745266373092,41.30005796332108,-,0.001,1753712061
Embedding Regression,channel_emb,6,22.83828723752821,37.020864285920794,-,0.001,1753712066
Embedding Regression,channel_emb,7,21.909211248964876,43.58700684497231,-,0.001,1753712072
Embedding Regression,channel_emb,8,22.54073049571063,42.89946152034559,-,0.001,1753712077
Embedding Regression,channel_emb,9,22.505258985467858,40.655562225141026,-,0.001,1753712082
Embedding Regression,channel_emb,10,23.464726435171592,50.609056196714704,-,0.001,1753712087
Embedding Regression,channel_emb,11,21.80370122476204,40.31100333364386,-,0.001,1753712092
Embedding Regression,channel_emb,12,21.85309379165237,37.7577671000832,-,0.001,1753712097
Embedding Regression,channel_emb,13,21.724553578608745,38.24388039739508,-,0.001,1753712102
Embedding Regression,channel_emb,14,23.54085008518116,37.18342113494873,-,0.001,1753712107
Embedding Regression,channel_emb,15,20.590793119894492,36.97567357515034,-,0.001,1753712112
Embedding Regression,channel_emb,16,19.5109386186342,35.94122088582892,-,0.001,1753712117
Embedding Regression,channel_emb,17,18.341314238470954,39.21634853513617,-,0.001,1753712122
Embedding Regression,channel_emb,18,19.102420283330453,37.333455788461784,-,0.001,1753712127
Embedding Regression,channel_emb,19,17.255585245183998,37.211815419949986,-,0.001,1753712132
Embedding Regression,channel_emb,20,18.333707545254683,38.615741328189245,-,0.0008,1753712137
Embedding Regression,channel_emb,21,17.048434740788228,34.175715797825866,-,0.0008,1753712142
Embedding Regression,channel_emb,22,15.034917373914976,33.66773996855083,-,0.0008,1753712147
Embedding Regression,channel_emb,23,15.3913262405911,35.436096680791756,-,0.0008,1753712153
Embedding Regression,channel_emb,24,14.492748703505542,34.14700211976704,-,0.0008,1753712158
Embedding Regression,channel_emb,25,14.717125802426725,32.940005716524624,-,0.0008,1753712163
Embedding Regression,channel_emb,26,15.814323238424352,32.12987648813348,-,0.0008,1753712168
Embedding Regression,channel_emb,27,18.851407776007783,41.398887169988534,-,0.0008,1753712173
Embedding Regression,channel_emb,28,15.54413773562457,32.82606666966488,-,0.0008,1753712178
Embedding Regression,channel_emb,29,15.001859516710848,39.72499749535009,-,0.0008,1753712183
Embedding Regression,channel_emb,30,16.071906805038452,33.51073819712589,-,0.0008,1753712188
Embedding Regression,channel_emb,31,14.966177341100332,32.48688312580711,-,0.0008,1753712193
Embedding Regression,channel_emb,32,14.59964807613476,32.28093715717918,-,0.0008,1753712198
Embedding Regression,channel_emb,33,14.45307767713392,34.0960192429392,-,0.0008,1753712203
Embedding Regression,channel_emb,34,14.564936811859543,34.615686441722666,-,0.0008,1753712208
Embedding Regression,channel_emb,35,13.955113108093673,31.22305202484131,-,0.0008,1753712213
Embedding Regression,channel_emb,36,14.434975469434583,40.45379227086117,-,0.0008,1753712218
Embedding Regression,channel_emb,37,15.462102020109022,32.74782682719984,-,0.0008,1753712223
Embedding Regression,channel_emb,38,16.0028514217686,34.92537189784803,-,0.0008,1753712228
Embedding Regression,channel_emb,39,15.358398360175055,33.4235194105851,-,0.0008,1753712233
Embedding Regression,channel_emb,40,14.039116382598877,31.933879802101536,-,0.00064,1753712238
Embedding Regression,channel_emb,41,14.128295653575176,32.793218763251055,-,0.00064,1753712243
Embedding Regression,channel_emb,42,12.60816233222549,29.44158104846352,-,0.00064,1753712248
Embedding Regression,channel_emb,43,12.951309436076397,32.25411933346798,-,0.00064,1753712254
Embedding Regression,channel_emb,44,13.132447017205727,32.384561952791714,-,0.00064,1753712259
Embedding Regression,channel_emb,45,12.165478583928701,29.79221864750511,-,0.00064,1753712264
Embedding Regression,channel_emb,46,12.360220335625314,31.52355312046252,-,0.00064,1753712269
Embedding Regression,channel_emb,47,12.502808184237093,32.57965055264925,-,0.00064,1753712274
Embedding Regression,channel_emb,48,12.852616561425698,29.395293687519274,-,0.00064,1753712279
Embedding Regression,channel_emb,49,12.515293185775345,30.355431933152047,-,0.00064,1753712284
Embedding Regression,channel_emb,50,11.721774893838006,29.711367331053083,-,0.00064,1753712289
