Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
Embedding Regression,channel_emb,1,143.4437130077465,78.10406524256656,-,0.001,1753704804
Embedding Regression,channel_emb,2,76.61733065424738,60.22986321700247,-,0.001,1753704808
Embedding Regression,channel_emb,3,65.81112928648253,66.32809819673237,-,0.001,1753704812
Embedding Regression,channel_emb,4,61.005863344347155,53.757220218056126,-,0.001,1753704817
Embedding Regression,channel_emb,5,53.87791427406105,52.224718043678685,-,0.001,1753704821
Embedding Regression,channel_emb,6,49.5551933597874,43.36977582228811,-,0.001,1753704825
Embedding Regression,channel_emb,7,46.06355069134686,45.24710911198666,-,0.001,1753704830
Embedding Regression,channel_emb,8,41.815035858669795,51.12238201342131,-,0.001,1753704834
Embedding Regression,channel_emb,9,41.50812861726091,49.383833383259024,-,0.001,1753704838
Embedding Regression,channel_emb,10,41.33992279864646,52.563847290842155,-,0.001,1753704843
Embedding Regression,channel_emb,11,38.07883776120237,50.67142446417557,-,0.001,1753704847
Embedding Regression,channel_emb,12,37.01588791769904,40.94908370469746,-,0.001,1753704852
Embedding Regression,channel_emb,13,34.495081965987744,38.70962145454005,-,0.001,1753704856
Embedding Regression,channel_emb,14,36.78639597506137,39.40462187716835,-,0.001,1753704860
Embedding Regression,channel_emb,15,35.64545046316611,37.332697215833164,-,0.001,1753704865
Embedding Regression,channel_emb,16,31.424332090326256,38.324942438225996,-,0.001,1753704869
Embedding Regression,channel_emb,17,29.427673765130944,40.39326271257902,-,0.001,1753704873
Embedding Regression,channel_emb,18,31.359001874923706,39.225087441896136,-,0.001,1753704878
Embedding Regression,channel_emb,19,30.02975954236211,38.17849352485255,-,0.001,1753704882
Embedding Regression,channel_emb,20,29.76740146327663,35.62236986662212,-,0.0008,1753704887
