Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
LoS/NLoS Classification,cls_emb,1,0.4036075174808502,0.634112677058658,0.9064080755391017,0.001,1753599109
LoS/NLoS Classification,cls_emb,2,0.23635720030257576,0.5027373505605234,0.9193326581293191,0.001,1753599168
LoS/NLoS Classification,cls_emb,3,0.20033244239656547,0.3385511076933629,0.9404946079296734,0.001,1753599223
LoS/NLoS Classification,cls_emb,4,0.18569037553511167,0.1795390565451738,0.9397515515223496,0.001,1753599281
LoS/NLoS Classification,cls_emb,5,0.1764695514973841,0.14817053678672057,0.9446516448578611,0.001,1753599338
