Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
Embedding Regression,channel_emb,1,143.42363677153716,78.40200404116982,-,0.001,1753704652
Embedding Regression,channel_emb,2,76.58248867859712,60.956974832635176,-,0.001,1753704656
Embedding Regression,channel_emb,3,65.85365160091503,66.61707064979954,-,0.001,1753704661
Embedding Regression,channel_emb,4,60.68242294723923,52.53428278471294,-,0.001,1753704665
Embedding Regression,channel_emb,5,53.021188942161764,52.324745629963125,-,0.001,1753704670
Embedding Regression,channel_emb,6,49.74793586215458,45.066476219578796,-,0.001,1753704674
Embedding Regression,channel_emb,7,46.733426789979674,45.15625868345562,-,0.001,1753704678
Embedding Regression,channel_emb,8,41.79732630059526,51.319230932938424,-,0.001,1753704683
Embedding Regression,channel_emb,9,41.5485234389434,48.54742998825876,-,0.001,1753704688
Embedding Regression,channel_emb,10,42.046422217343306,54.62418887489721,-,0.001,1753704693
Embedding Regression,channel_emb,11,38.39467750610532,49.84549432051809,-,0.001,1753704697
Embedding Regression,channel_emb,12,36.689508193248024,40.909574257700065,-,0.001,1753704701
Embedding Regression,channel_emb,13,33.9834017882476,37.337709150816266,-,0.001,1753704706
Embedding Regression,channel_emb,14,36.03361469990498,39.445345200990374,-,0.001,1753704710
Embedding Regression,channel_emb,15,35.8686195579735,38.0072290520919,-,0.001,1753704714
Embedding Regression,channel_emb,16,31.994927741385794,38.36740729683324,-,0.001,1753704719
Embedding Regression,channel_emb,17,29.645438207162393,39.469964830498945,-,0.001,1753704723
Embedding Regression,channel_emb,18,31.183517620370196,39.322248910602774,-,0.001,1753704728
Embedding Regression,channel_emb,19,29.80827430132273,40.25609367772152,-,0.001,1753704732
Embedding Regression,channel_emb,20,29.862737913389463,34.805054664611816,-,0.0008,1753704736
