Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
Embedding Regression,raw,1,0.09475890111152818,0.04100186224221378,-,0.001,1753688878
Embedding Regression,raw,2,0.04543954142857166,0.029400554787669633,-,0.001,1753688879
Embedding Regression,raw,3,0.029652758153016063,0.012577687302050559,-,0.001,1753688880
Embedding Regression,raw,4,0.017509154348197033,0.00946751659786379,-,0.001,1753688881
Embedding Regression,raw,5,0.012959994654468938,0.008461632230948354,-,0.001,1753688883
Embedding Regression,raw,6,0.008658108345809438,0.004523485489944751,-,0.001,1753688884
Embedding Regression,raw,7,0.0061608138985196955,0.0029007661143770893,-,0.001,1753688887
Embedding Regression,raw,8,0.004464591226103354,0.0027211743872612715,-,0.001,1753688888
Embedding Regression,raw,9,0.0038575353267203483,0.0035272791613572955,-,0.001,1753688889
Embedding Regression,raw,10,0.002817942620711211,0.0024383290123345482,-,0.001,1753688890
Embedding Regression,raw,11,0.002148080456821362,0.0014242549124803092,-,0.001,1753688891
Embedding Regression,raw,12,0.0016292537852399507,0.0032043546702511406,-,0.001,1753688892
Embedding Regression,raw,13,0.0016432526647303328,0.0010923998645896947,-,0.001,1753688893
Embedding Regression,raw,14,0.0015070590774249918,0.0008344245650585288,-,0.001,1753688895
Embedding Regression,raw,15,0.0010317367082620103,0.0008548607694211643,-,0.001,1753688896
Embedding Regression,raw,16,0.0008256753437778576,0.0007708424150100531,-,0.001,1753688897
Embedding Regression,raw,17,0.0007181955876817205,0.0005657235775976693,-,0.001,1753688898
Embedding Regression,raw,18,0.0007477417264726064,0.0007999269283892638,-,0.001,1753688899
Embedding Regression,raw,19,0.0007689349618811654,0.0005718347918544267,-,0.001,1753688902
Embedding Regression,raw,20,0.0005507107622414426,0.0005308987389513719,-,0.0008,1753688903
