Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
LoS/NLoS Classification,raw,1,0.6908109595901087,0.5627629225318497,0.41027069935994487,0.001,1753599624
LoS/NLoS Classification,raw,2,0.5361893098605307,0.4896746680543229,0.4211250391274673,0.001,1753599625
LoS/NLoS Classification,raw,3,0.4897840477918324,0.46527194855986415,0.42411734805004864,0.001,1753599625
LoS/NLoS Classification,raw,4,0.45407608778853165,0.43330490911329117,0.426771299066158,0.001,1753599625
LoS/NLoS Classification,raw,5,0.44321033044865255,0.41333838693193486,0.7934663890946828,0.001,1753599626
