Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
Embedding Regression,channel_emb,1,8.069019549601787,19.27885657862613,-,0.001,1753709063
Embedding Regression,channel_emb,2,8.668178774215079,19.146909751390154,-,0.001,1753709068
Embedding Regression,channel_emb,3,8.33510975902145,20.020218008442928,-,0.001,1753709072
Embedding Regression,channel_emb,4,8.397719376796001,19.40168373208297,-,0.001,1753709077
Embedding Regression,channel_emb,5,8.113979565130698,21.36168590344881,-,0.001,1753709081
Embedding Regression,channel_emb,6,7.940274013055338,19.687696425538313,-,0.001,1753709086
Embedding Regression,channel_emb,7,8.09423212747316,22.31423618918971,-,0.001,1753709091
Embedding Regression,channel_emb,8,7.826078510767704,23.032255574276572,-,0.001,1753709095
Embedding Regression,channel_emb,9,7.906132118121998,23.641622191981266,-,0.001,1753709100
Embedding Regression,channel_emb,10,8.20112392225781,25.59196179791501,-,0.001,1753709104
Embedding Regression,channel_emb,11,8.136168411454639,21.747368498852378,-,0.001,1753709109
Embedding Regression,channel_emb,12,8.180703817187128,21.617273242850054,-,0.001,1753709113
Embedding Regression,channel_emb,13,7.706103566530588,20.89471547854574,-,0.001,1753709118
Embedding Regression,channel_emb,14,7.982233131254041,21.295866558426304,-,0.001,1753709123
Embedding Regression,channel_emb,15,7.9048701814703035,20.575997503180254,-,0.001,1753709127
Embedding Regression,channel_emb,16,7.616782181971782,20.493208878918697,-,0.001,1753709132
Embedding Regression,channel_emb,17,7.461605026915267,22.696058367428027,-,0.001,1753709136
Embedding Regression,channel_emb,18,7.63153413824133,21.94652147042124,-,0.001,1753709141
Embedding Regression,channel_emb,19,7.564243339203499,19.263278208280866,-,0.001,1753709146
Embedding Regression,channel_emb,20,8.303562144975405,19.19277017994931,-,0.0008,1753709150
Embedding Regression,channel_emb,21,7.447962300197498,19.42363016856344,-,0.0008,1753709155
Embedding Regression,channel_emb,22,6.992163767685762,20.926680326461792,-,0.0008,1753709159
Embedding Regression,channel_emb,23,6.994370305860365,20.751228721518267,-,0.0008,1753709164
Embedding Regression,channel_emb,24,6.914821660196459,20.340139062781084,-,0.0008,1753709168
Embedding Regression,channel_emb,25,6.849159901206558,19.012370849910535,-,0.0008,1753709173
Embedding Regression,channel_emb,26,6.79950821721876,19.11064733329572,-,0.0008,1753709178
Embedding Regression,channel_emb,27,7.887647857537141,22.281820736433332,-,0.0008,1753709182
Embedding Regression,channel_emb,28,6.972896173193648,19.17676739943655,-,0.0008,1753709187
Embedding Regression,channel_emb,29,7.182102293581576,18.604257420489663,-,0.0008,1753709191
Embedding Regression,channel_emb,30,7.051549510375874,20.60895079060605,-,0.0008,1753709196
Embedding Regression,channel_emb,31,6.942160841580984,19.801442209043,-,0.0008,1753709200
Embedding Regression,channel_emb,32,6.920178232966243,18.153249916277435,-,0.0008,1753709205
Embedding Regression,channel_emb,33,6.79963752063545,21.076034018867894,-,0.0008,1753709210
Embedding Regression,channel_emb,34,6.929609720771377,22.471279608575923,-,0.0008,1753709214
Embedding Regression,channel_emb,35,6.825518086149886,20.61434412629981,-,0.0008,1753709219
Embedding Regression,channel_emb,36,6.9104999948192285,20.57232436380888,-,0.0008,1753709223
Embedding Regression,channel_emb,37,6.889660319766483,19.26076390868739,-,0.0008,1753709228
Embedding Regression,channel_emb,38,7.506999122129904,22.49266626960353,-,0.0008,1753709233
Embedding Regression,channel_emb,39,7.0677750626125855,19.208755624921697,-,0.0008,1753709237
Embedding Regression,channel_emb,40,6.837108750601073,18.435942844340676,-,0.00064,1753709242
