Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
Embedding Regression,raw,1,681.6791868467589,561.2196405112338,-,0.001,1753684873
Embedding Regression,raw,2,547.1277630780194,485.404159753501,-,0.001,1753684873
Embedding Regression,raw,3,464.2141324636099,417.3029782042211,-,0.001,1753684874
Embedding Regression,raw,4,392.5434071308858,364.7471897099294,-,0.001,1753684874
Embedding Regression,raw,5,326.2654829283018,305.3644984238813,-,0.001,1753684875
Embedding Regression,raw,6,278.44228177457245,278.87936087368297,-,0.001,1753684875
Embedding Regression,raw,7,242.13362265921927,232.35012028493037,-,0.001,1753684876
Embedding Regression,raw,8,198.38160231306748,203.29562372739622,-,0.001,1753684877
Embedding Regression,raw,9,170.82613805822425,165.62926267766628,-,0.001,1753684877
Embedding Regression,raw,10,161.12216042183542,159.28142550202455,-,0.001,1753684878
Embedding Regression,raw,11,142.51004028320312,122.88886140317334,-,0.001,1753684878
Embedding Regression,raw,12,120.47865089210305,114.92484815428857,-,0.001,1753684879
Embedding Regression,raw,13,120.60970038336677,95.68455924468786,-,0.001,1753684879
Embedding Regression,raw,14,98.6059423910605,94.68551612386898,-,0.001,1753684880
Embedding Regression,raw,15,103.009670773068,76.44700672512963,-,0.001,1753684880
Embedding Regression,raw,16,90.42240977931667,71.55208016739411,-,0.001,1753684881
Embedding Regression,raw,17,84.4652380041174,62.616216477893644,-,0.001,1753684882
Embedding Regression,raw,18,80.27271394471865,68.5454416729155,-,0.001,1753684882
Embedding Regression,raw,19,95.88349254711254,78.92304119447462,-,0.001,1753684883
Embedding Regression,raw,20,64.55397100706358,46.922029443338616,-,0.0008,1753684884
Embedding Regression,raw,21,70.21958624350059,44.44171385213631,-,0.0008,1753684885
Embedding Regression,raw,22,60.69054665436616,43.04539523481512,-,0.0008,1753684885
Embedding Regression,raw,23,65.5230513392268,42.11074026587869,-,0.0008,1753684886
Embedding Regression,raw,24,70.94392003239813,36.59735643944773,-,0.0008,1753684886
Embedding Regression,raw,25,61.636112573984505,44.610112923343166,-,0.0008,1753684887
Embedding Regression,raw,26,62.674094844508815,39.34344991048177,-,0.0008,1753684887
Embedding Regression,raw,27,57.94802340945682,32.12852511762762,-,0.0008,1753684888
Embedding Regression,raw,28,51.818431957347975,33.419005900013204,-,0.0008,1753684888
Embedding Regression,raw,29,56.83414144773741,33.49359007595348,-,0.0008,1753684889
Embedding Regression,raw,30,66.31086297937341,46.530169396173385,-,0.0008,1753684890
Embedding Regression,raw,31,57.48085269412479,37.32476968181376,-,0.0008,1753684891
Embedding Regression,raw,32,54.911667540266706,33.133611672589566,-,0.0008,1753684892
Embedding Regression,raw,33,53.969154615659974,32.035904177192116,-,0.0008,1753684892
Embedding Regression,raw,34,53.46955902512009,27.93235845306293,-,0.0008,1753684893
Embedding Regression,raw,35,59.70485053191314,29.392979193706903,-,0.0008,1753684894
Embedding Regression,raw,36,54.068071210706556,35.57214637029739,-,0.0008,1753684894
Embedding Regression,raw,37,52.4580471451218,31.554183706945302,-,0.0008,1753684895
Embedding Regression,raw,38,48.83247973467853,34.844871735086244,-,0.0008,1753684896
Embedding Regression,raw,39,55.249833906019056,35.91325073501691,-,0.0008,1753684896
Embedding Regression,raw,40,50.52466938946698,27.45565888346458,-,0.00064,1753684897
