Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
Embedding Regression,channel_emb,1,142.59926192824906,102.19957391839279,-,0.001,1753704499
Embedding Regression,channel_emb,2,92.38065698984506,90.05085433156867,-,0.001,1753704506
Embedding Regression,channel_emb,3,79.9362769255767,94.83071096319901,-,0.001,1753704511
Embedding Regression,channel_emb,4,74.78117169560613,65.41138613851447,-,0.001,1753704515
Embedding Regression,channel_emb,5,61.52560600074562,63.36573751349198,-,0.001,1753704520
Embedding Regression,channel_emb,6,54.681344779762064,52.16784642872057,-,0.001,1753704525
Embedding Regression,channel_emb,7,50.623356020128405,50.81374113183273,-,0.001,1753704529
Embedding Regression,channel_emb,8,41.978804018046404,54.450577334353795,-,0.001,1753704534
Embedding Regression,channel_emb,9,43.449750681181214,53.15174152976588,-,0.001,1753704538
Embedding Regression,channel_emb,10,42.88181180567355,68.74797329149749,-,0.001,1753704543
Embedding Regression,channel_emb,11,39.9257441138899,58.90787686799702,-,0.001,1753704547
Embedding Regression,channel_emb,12,38.56669130840817,45.55939724570826,-,0.001,1753704552
Embedding Regression,channel_emb,13,34.18806777129302,39.85478027243363,-,0.001,1753704557
Embedding Regression,channel_emb,14,38.38961343507509,40.75646370335629,-,0.001,1753704561
Embedding Regression,channel_emb,15,37.41880124324077,40.36314392089844,-,0.001,1753704566
Embedding Regression,channel_emb,16,32.328033279728245,39.33887697521009,-,0.001,1753704570
Embedding Regression,channel_emb,17,28.6856593183569,43.60647166402716,-,0.001,1753704575
Embedding Regression,channel_emb,18,32.193984350642644,45.55267901169626,-,0.001,1753704580
Embedding Regression,channel_emb,19,29.721247776134593,40.27645522669742,-,0.001,1753704584
Embedding Regression,channel_emb,20,28.38121793076799,36.063319407011335,-,0.0008,1753704589
