Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
Embedding Regression,raw,1,0.1086153821695758,0.04182659759712608,-,0.001,1753686458
Embedding Regression,raw,2,0.0594058489507955,0.034449393820503486,-,0.001,1753686459
Embedding Regression,raw,3,0.04159357803671256,0.01782677325156882,-,0.001,1753686460
Embedding Regression,raw,4,0.028854685653325007,0.015535267295174139,-,0.001,1753686460
Embedding Regression,raw,5,0.021890894864159433,0.01132794144138208,-,0.001,1753686461
Embedding Regression,raw,6,0.01668800669722259,0.00793257577891421,-,0.001,1753686462
Embedding Regression,raw,7,0.013209113228620718,0.00634427783180676,-,0.001,1753686465
Embedding Regression,raw,8,0.01029305043630302,0.006678302383870291,-,0.001,1753686465
Embedding Regression,raw,9,0.008807152494504724,0.003738539194075755,-,0.001,1753686466
Embedding Regression,raw,10,0.006359403517664126,0.0029883881399418106,-,0.001,1753686467
Embedding Regression,raw,11,0.0051443455057502115,0.0029983489543867663,-,0.001,1753686468
Embedding Regression,raw,12,0.00466363163381491,0.0027353194980052017,-,0.001,1753686469
Embedding Regression,raw,13,0.003736330501218934,0.0026641364586438335,-,0.001,1753686469
Embedding Regression,raw,14,0.0036464602004422845,0.002072616564755267,-,0.001,1753686470
Embedding Regression,raw,15,0.002827751626128979,0.002032187537026956,-,0.001,1753686471
Embedding Regression,raw,16,0.0024184552071939993,0.001338545776809991,-,0.001,1753686472
Embedding Regression,raw,17,0.0020817904220640903,0.0014689950972830918,-,0.001,1753686473
Embedding Regression,raw,18,0.0018798936678491452,0.0009638668438445007,-,0.001,1753686474
Embedding Regression,raw,19,0.0014238491377276976,0.0014627279451815411,-,0.001,1753686474
Embedding Regression,raw,20,0.0014940279869852416,0.0007119201729200659,-,0.0008,1753686475
