Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
Embedding Regression,raw,1,680.8430466029955,667.6734380307405,-,0.001,1753683632
Embedding Regression,raw,2,661.8156837795092,649.9874935979428,-,0.001,1753683633
Embedding Regression,raw,3,640.7052688598633,630.9482375435207,-,0.001,1753683633
Embedding Regression,raw,4,621.5371997667396,604.3565821440324,-,0.001,1753683633
Embedding Regression,raw,5,593.1860535663108,583.6506778882897,-,0.001,1753683634
Embedding Regression,raw,6,564.0355105192765,555.0332285010296,-,0.001,1753683634
Embedding Regression,raw,7,540.1335875469705,541.9081555242124,-,0.001,1753683635
Embedding Regression,raw,8,517.8124111009681,520.780230646548,-,0.001,1753683635
Embedding Regression,raw,9,503.088516401208,504.1202171989109,-,0.001,1753683635
Embedding Regression,raw,10,481.27218926471215,479.8613525058912,-,0.001,1753683636
