Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
Embedding Regression,channel_emb,1,654.8663709485853,533.5299379517432,-,0.001,1753685350
Embedding Regression,channel_emb,2,522.4772691468935,461.0874968029204,-,0.001,1753685355
Embedding Regression,channel_emb,3,444.3987733995592,396.95398751083684,-,0.001,1753685359
Embedding Regression,channel_emb,4,375.2829635207718,343.6247138977051,-,0.001,1753685364
Embedding Regression,channel_emb,5,315.09448386527396,294.6936697927462,-,0.001,1753685370
Embedding Regression,channel_emb,6,269.12186235994903,266.32713522878635,-,0.001,1753685374
Embedding Regression,channel_emb,7,237.9155428087389,227.25418711032998,-,0.001,1753685379
Embedding Regression,channel_emb,8,197.71714823954815,209.3531506337276,-,0.001,1753685384
Embedding Regression,channel_emb,9,174.77291519577437,179.33343697891755,-,0.001,1753685389
Embedding Regression,channel_emb,10,165.51390745833115,163.75923843124286,-,0.001,1753685394
Embedding Regression,channel_emb,11,148.11981242411846,142.97693550992173,-,0.001,1753685399
Embedding Regression,channel_emb,12,129.51193515674487,132.4912070968524,-,0.001,1753685404
Embedding Regression,channel_emb,13,127.85090822786898,120.91251387563692,-,0.001,1753685408
Embedding Regression,channel_emb,14,109.82319620493296,120.290769304548,-,0.001,1753685414
Embedding Regression,channel_emb,15,114.89057076943887,110.30777640569778,-,0.001,1753685419
Embedding Regression,channel_emb,16,103.21733433491475,105.47042068170042,-,0.001,1753685423
Embedding Regression,channel_emb,17,99.31919108210383,98.0352557629955,-,0.001,1753685429
Embedding Regression,channel_emb,18,96.36693098738387,97.38552722152399,-,0.001,1753685433
Embedding Regression,channel_emb,19,108.86562295862146,101.93208676292782,-,0.001,1753685440
Embedding Regression,channel_emb,20,77.53847431492161,91.14955791161985,-,0.0008,1753685445
Embedding Regression,channel_emb,21,84.31568001412056,85.49728795135913,-,0.0008,1753685450
Embedding Regression,channel_emb,22,73.02122528488572,84.08909150856692,-,0.0008,1753685455
Embedding Regression,channel_emb,23,79.40878058768608,84.12700040648583,-,0.0008,1753685460
Embedding Regression,channel_emb,24,83.56752570899758,79.80726404254939,-,0.0008,1753685464
Embedding Regression,channel_emb,25,74.18714750135267,85.26991203204304,-,0.0008,1753685469
Embedding Regression,channel_emb,26,74.64383264490075,80.64979956750156,-,0.0008,1753685474
Embedding Regression,channel_emb,27,69.61466186111038,77.35554460927743,-,0.0008,1753685478
Embedding Regression,channel_emb,28,65.4748515567264,78.13134290734116,-,0.0008,1753685483
Embedding Regression,channel_emb,29,70.23660778354954,78.34101363590786,-,0.0008,1753685488
Embedding Regression,channel_emb,30,79.37750589525378,85.72576925057132,-,0.0008,1753685493
Embedding Regression,channel_emb,31,67.94732026796083,79.46202119191487,-,0.0008,1753685498
Embedding Regression,channel_emb,32,66.76062140593658,78.88029034283696,-,0.0008,1753685503
Embedding Regression,channel_emb,33,66.20511699367214,78.01819646926154,-,0.0008,1753685508
Embedding Regression,channel_emb,34,64.49076600976892,78.07160720695444,-,0.0008,1753685512
Embedding Regression,channel_emb,35,70.38944203144796,77.0654102052961,-,0.0008,1753685517
Embedding Regression,channel_emb,36,64.65363316922574,79.16073419609849,-,0.0008,1753685522
Embedding Regression,channel_emb,37,64.47544737119932,77.01135734635956,-,0.0008,1753685527
Embedding Regression,channel_emb,38,60.0036526241818,78.27462315721577,-,0.0008,1753685532
Embedding Regression,channel_emb,39,65.83895301818848,80.95728167709039,-,0.0008,1753685536
Embedding Regression,channel_emb,40,57.825215365435625,72.31857959591612,-,0.00064,1753685541
