Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
Embedding Regression,raw,1,469.09561820652175,460.386103256889,-,0.001,1753683404
Embedding Regression,raw,2,456.1574695421302,448.44869945360267,-,0.001,1753683404
Embedding Regression,raw,3,441.796351723049,434.9288136026134,-,0.001,1753683405
Embedding Regression,raw,4,428.6599034019138,416.76324039956796,-,0.001,1753683405
Embedding Regression,raw,5,408.726874973463,401.8320615187935,-,0.001,1753683406
Embedding Regression,raw,6,387.9018626835035,381.941697327987,-,0.001,1753683406
Embedding Regression,raw,7,370.95634916554326,372.13434484730595,-,0.001,1753683407
Embedding Regression,raw,8,355.7099987527599,356.5152657550314,-,0.001,1753683407
Embedding Regression,raw,9,345.07389711297077,345.4466087507165,-,0.001,1753683408
Embedding Regression,raw,10,329.96102635756785,327.9113297669784,-,0.001,1753683409
