Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
Embedding Regression,channel_emb,1,199.36418722762542,166.10776272335568,-,0.001,1753689712
Embedding Regression,channel_emb,2,137.681698572068,126.37259725622229,-,0.001,1753689717
Embedding Regression,channel_emb,3,108.98043387276786,99.3925625053612,-,0.001,1753689722
Embedding Regression,channel_emb,4,92.72836750056467,81.97183596121299,-,0.001,1753689728
Embedding Regression,channel_emb,5,81.7354739312412,73.82502408929773,-,0.001,1753689733
Embedding Regression,channel_emb,6,76.94536700865038,70.4023113766232,-,0.001,1753689740
Embedding Regression,channel_emb,7,74.57300010992556,68.2957678614436,-,0.001,1753689745
Embedding Regression,channel_emb,8,71.02761682523351,65.78721211407635,-,0.001,1753689750
Embedding Regression,channel_emb,9,71.40102212607455,66.70647023175214,-,0.001,1753689754
Embedding Regression,channel_emb,10,69.07121942481216,63.505510330200195,-,0.001,1753689759
Embedding Regression,channel_emb,11,67.27758520476672,64.19507588566961,-,0.001,1753689764
Embedding Regression,channel_emb,12,66.45614559147634,64.23344809300191,-,0.001,1753689769
Embedding Regression,channel_emb,13,66.49532800791215,64.5236460711505,-,0.001,1753689774
Embedding Regression,channel_emb,14,64.0936009413531,63.24933443842708,-,0.001,1753689779
Embedding Regression,channel_emb,15,63.54394078416889,61.346564421782624,-,0.001,1753689784
Embedding Regression,channel_emb,16,62.02004134249525,63.141063458210716,-,0.001,1753689789
Embedding Regression,channel_emb,17,63.07680166335333,62.39587167791418,-,0.001,1753689794
Embedding Regression,channel_emb,18,60.78915671264233,62.741947199847246,-,0.001,1753689799
Embedding Regression,channel_emb,19,60.20238058907645,62.78874299332902,-,0.001,1753689804
Embedding Regression,channel_emb,20,60.47053664071219,63.551777143736146,-,0.0008,1753689811
