Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
Channel Reconstruction,channel_emb,1,788.4285748455975,703.2952108577806,-,0.001,1753606583
Channel Reconstruction,channel_emb,2,710.8898166965794,646.5158783270389,-,0.001,1753606651
Channel Reconstruction,channel_emb,3,663.9902368493982,599.6502617038026,-,0.001,1753606708
