Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
Embedding Regression,channel_emb,1,6.024497985839844,25.452263355255127,-,0.0001,1754035265
Embedding Regression,channel_emb,2,5.131159910788903,26.48164314031601,-,0.0001,1754035267
Embedding Regression,channel_emb,3,4.280445392315205,27.025841653347015,-,0.0001,1754035269
Embedding Regression,channel_emb,4,4.016370920034555,27.168598502874374,-,0.0001,1754035271
Embedding Regression,channel_emb,5,3.9362472020662747,27.20347946882248,-,0.0001,1754035272
Embedding Regression,channel_emb,6,3.8327072033515344,27.61316019296646,-,0.0001,1754035274
Embedding Regression,channel_emb,7,3.5478657759152927,27.833758533000946,-,0.0001,1754035276
Embedding Regression,channel_emb,8,3.5421013281895566,27.829356282949448,-,0.0001,1754035278
Embedding Regression,channel_emb,9,3.4052535937382626,27.923396438360214,-,0.0001,1754035279
Embedding Regression,channel_emb,10,3.328767886528602,27.974087119102478,-,0.0001,1754035281
Embedding Regression,channel_emb,11,3.272051132642306,27.969350576400757,-,0.0001,1754035283
Embedding Regression,channel_emb,12,3.2268651998960056,28.31590509414673,-,0.0001,1754035285
Embedding Regression,channel_emb,13,3.089979153413039,28.111523419618607,-,0.0001,1754035286
Embedding Regression,channel_emb,14,3.0273431081038256,28.061610281467438,-,0.0001,1754035288
Embedding Regression,channel_emb,15,3.0226667660933275,28.144201308488846,-,0.0001,1754035290
Embedding Regression,channel_emb,16,3.0631422446324277,27.904922902584076,-,0.0001,1754035292
Embedding Regression,channel_emb,17,2.97692924279433,28.17460262775421,-,0.0001,1754035293
Embedding Regression,channel_emb,18,3.079796387599065,28.326286911964417,-,0.0001,1754035295
Embedding Regression,channel_emb,19,2.977817645439735,28.11011552810669,-,0.0001,1754035297
Embedding Regression,channel_emb,20,3.027389544707078,28.19984120130539,-,8e-05,1754035298
Embedding Regression,channel_emb,21,3.0631622534531813,28.25234305858612,-,8e-05,1754035300
Embedding Regression,channel_emb,22,3.0578535886911244,28.270244985818863,-,8e-05,1754035302
Embedding Regression,channel_emb,23,2.942929561321552,28.4475377202034,-,8e-05,1754035304
Embedding Regression,channel_emb,24,2.909790974396926,28.382304191589355,-,8e-05,1754035305
Embedding Regression,channel_emb,25,2.8983458005464993,28.267689526081085,-,8e-05,1754035307
Embedding Regression,channel_emb,26,2.8446010993077206,28.37147754430771,-,8e-05,1754035309
Embedding Regression,channel_emb,27,2.8861628770828247,28.475281894207,-,8e-05,1754035311
Embedding Regression,channel_emb,28,2.895346155533424,28.447421312332153,-,8e-05,1754035313
Embedding Regression,channel_emb,29,3.0131479043226976,28.38348114490509,-,8e-05,1754035314
Embedding Regression,channel_emb,30,2.9122657500780544,28.295893132686615,-,8e-05,1754035316
Embedding Regression,channel_emb,31,2.864800159747784,28.22684818506241,-,8e-05,1754035318
Embedding Regression,channel_emb,32,2.8386241839482236,28.044948875904083,-,8e-05,1754035320
